term_id;term_name;taxonomy_name
72613;Newsletter ThreatHorizon: Pre 2th content item;advanced_ads_groups
72612;Newsletter Health: Pre 2nd content item;advanced_ads_groups
72611;Newsletter Gov: Pre 2nd content item;advanced_ads_groups
72610;Newsletter Finance: Pre 2nd content item;advanced_ads_groups
72608;Newsletter CloudSecurity: Pre 2th content item;advanced_ads_groups
72607;Newsletter Alert: Pre 2nd content item;advanced_ads_groups
72537;Newsletter Finance: Bottom;advanced_ads_groups
72536;Newsletter Finance: Top;advanced_ads_groups
72535;Newsletter Finance: Pre 4th content item;advanced_ads_groups
72534;Newsletter Gov: Pre 4th content item;advanced_ads_groups
72533;Newsletter Gov: Top;advanced_ads_groups
72532;Newsletter Gov: Bottom;advanced_ads_groups
72531;Newsletter Health: Pre 4th content item;advanced_ads_groups
72530;Newsletter Health: Bottom;advanced_ads_groups
72529;Newsletter Health: Top;advanced_ads_groups
72028;Newsletter CloudSecurity: Pre 4th content item;advanced_ads_groups
72027;Newsletter DailyScan: Pre 4th content item;advanced_ads_groups
72026;Newsletter ThreatHorizon: Pre 4th content item;advanced_ads_groups
72013;Newsletter: Pre 4th content item;advanced_ads_groups
71964;Newsletter Alert: Bottom;advanced_ads_groups
71963;Newsletter Alert: Top;advanced_ads_groups
71962;Newsletter CloudSecurity: Bottom;advanced_ads_groups
71961;Newsletter CloudSecurity: Top;advanced_ads_groups
71960;Newsletter DailyScan: Bottom;advanced_ads_groups
71959;Newsletter DailyScan: Top;advanced_ads_groups
71958;Newsletter ThreatHorizon: Bottom;advanced_ads_groups
71957;Newsletter ThreatHorizon: Top;advanced_ads_groups
