"object_id","name"
"11359","Opinion"
"11362","Opinion"
"11365","Opinion"
"11367","Opinion"
"11369","Opinion"
"11372","Opinion"
"11374","Opinion"
"11376","Opinion"
"11379","Opinion"
"11381","Opinion"
"11384","Opinion"
"11386","Opinion"
"11388","Opinion"
"11391","Opinion"
"11393","Opinion"
"11396","Opinion"
"11398","Opinion"
"11401","Opinion"
"11404","Opinion"
"11406","Opinion"
"11408","Opinion"
"11411","Opinion"
"11414","Opinion"
"11416","Opinion"
"11419","Opinion"
"11421","Opinion"
"11423","Opinion"
"11426","Opinion"
"11429","Opinion"
"11432","Opinion"
"11434","Opinion"
"11437","Opinion"
"11440","Opinion"
"11445","Opinion"
"11447","Opinion"
"11449","Opinion"
"11452","Opinion"
"11454","Opinion"
"11456","Opinion"
"11458","Opinion"
"11460","Opinion"
"11462","Opinion"
"11465","Opinion"
"11467","Opinion"
"11470","Opinion"
"11473","Opinion"
"11476","Opinion"
"11478","Opinion"
"11480","Opinion"
"11482","Opinion"
"11484","Opinion"
"11486","Opinion"
"11488","Opinion"
"11490","Opinion"
"11492","Opinion"
"11494","Opinion"
"11496","Opinion"
"11498","Opinion"
"11501","Opinion"
"11504","Opinion"
"11507","Opinion"
"11509","Opinion"
"11512","Opinion"
"11514","Opinion"
"12048","Opinion"
"12051","Opinion"
"12054","Opinion"
"12057","Opinion"
"12076","Opinion"
"12083","Opinion"
"12086","Opinion"
"12120","Opinion"
"12135","Opinion"
"12138","Opinion"
"12173","Opinion"
"12175","Opinion"
"12181","Opinion"
"12220","Opinion"
"12223","Opinion"
"12226","Opinion"
"12252","Opinion"
"12255","Opinion"
"12271","Opinion"
"12305","Opinion"
"12307","Opinion"
"12310","Opinion"
"12343","Opinion"
"12346","Opinion"
"12349","Opinion"
"12376","Opinion"
"12379","Opinion"
"12385","Opinion"
"12426","Opinion"
"12429","Opinion"
"12434","Opinion"
"12457","Opinion"
"12460","Opinion"
"12465","Opinion"
"12489","Opinion"
"12492","Opinion"
"12495","Opinion"
"12542","Opinion"
"12547","Opinion"
"12550","Opinion"
"12575","Opinion"
"12577","Opinion"
"12582","Opinion"
"12607","Opinion"
"12614","Opinion"
"12617","Opinion"
"12634","Opinion"
"12637","Opinion"
"12643","Opinion"
"12692","Opinion"
"12697","Opinion"
"12700","Opinion"
"12737","Opinion"
"12740","Opinion"
"12743","Opinion"
"12769","Opinion"
"12779","Opinion"
"12782","Opinion"
"12787","Opinion"
"12808","Opinion"
"12815","Opinion"
"12818","Opinion"
"12837","Opinion"
"12839","Opinion"
"12846","Opinion"
"12870","Opinion"
"12877","Opinion"
"12880","Opinion"
"12932","Opinion"
"12937","Opinion"
"12940","Opinion"
"12969","Opinion"
"12972","Opinion"
"12975","Opinion"
"13004","Opinion"
"13007","Opinion"
"13009","Opinion"
"13047","Opinion"
"13050","Opinion"
"13053","Opinion"
"13132","Opinion"
"13135","Opinion"
"13138","Opinion"
"13155","Opinion"
"13158","Opinion"
"13161","Opinion"
"13181","Opinion"
"13184","Opinion"
"13187","Opinion"
"13287","Opinion"
"13291","Opinion"
"13294","Opinion"
"13317","Opinion"
"13319","Opinion"
"13324","Opinion"
"13341","Opinion"
"13343","Opinion"
"13349","Opinion"
"13358","Opinion"
"13363","Opinion"
"13369","Opinion"
"13424","Opinion"
"13427","Opinion"
"13430","Opinion"
"13432","Opinion"
"13507","Opinion"
"13514","Opinion"
"13544","Opinion"
"13552","Opinion"
"13555","Opinion"
"13587","Opinion"
"13590","Opinion"
"13594","Opinion"
"13614","Opinion"
"13627","Opinion"
"13654","Opinion"
"13689","Opinion"
"13722","Opinion"
"13779","Opinion"
"13806","Opinion"
"13816","Opinion"
"13840","Opinion"
"13870","Opinion"
"13890","Opinion"
"13927","Opinion"
"13980","Opinion"
"13997","Opinion"
"14020","Opinion"
"14039","Opinion"
"14069","Opinion"
"14094","Opinion"
"14136","Opinion"
